
dc (V)            getData("M0:gm    getData("M0:id    getData("M0:cg    getData("M0:gd    getData("M0:vt    getData("M0:vd
 1.30500e+00       4.48304e-04       2.11786e-04       3.55369e-15       5.76994e-06       5.77359e-01       5.94657e-01      
 1.31400e+00       4.50111e-04       2.15828e-04       3.55566e-15       5.86394e-06       5.77359e-01       6.00319e-01      
 1.32300e+00       4.51855e-04       2.19887e-04       3.55762e-15       5.95858e-06       5.77359e-01       6.05969e-01      
 1.33200e+00       4.53539e-04       2.23961e-04       3.55956e-15       6.05386e-06       5.77359e-01       6.11608e-01      
 1.34100e+00       4.55161e-04       2.28051e-04       3.56150e-15       6.14980e-06       5.77359e-01       6.17234e-01      
 1.35000e+00       4.56724e-04       2.32154e-04       3.56343e-15       6.24639e-06       5.77359e-01       6.22850e-01      
 1.35900e+00       4.58229e-04       2.36271e-04       3.56534e-15       6.34365e-06       5.77359e-01       6.28455e-01      
 1.36800e+00       4.59675e-04       2.40402e-04       3.56725e-15       6.44160e-06       5.77359e-01       6.34049e-01      
 1.37700e+00       4.61065e-04       2.44545e-04       3.56916e-15       6.54023e-06       5.77359e-01       6.39634e-01      
 1.38600e+00       4.62398e-04       2.48700e-04       3.57106e-15       6.63955e-06       5.77359e-01       6.45208e-01      
 1.39500e+00       4.63675e-04       2.52868e-04       3.57295e-15       6.73958e-06       5.77359e-01       6.50774e-01      
 1.40400e+00       4.64898e-04       2.57046e-04       3.57484e-15       6.84033e-06       5.77359e-01       6.56330e-01      
 1.41300e+00       4.66068e-04       2.61236e-04       3.57672e-15       6.94180e-06       5.77359e-01       6.61879e-01      
 1.42200e+00       4.67184e-04       2.65435e-04       3.57861e-15       7.04402e-06       5.77359e-01       6.67418e-01      
 1.43100e+00       4.68247e-04       2.69645e-04       3.58049e-15       7.14697e-06       5.77359e-01       6.72951e-01      
 1.44000e+00       4.69260e-04       2.73863e-04       3.58238e-15       7.25069e-06       5.77359e-01       6.78475e-01      
 1.44900e+00       4.70221e-04       2.78091e-04       3.58426e-15       7.35518e-06       5.77359e-01       6.83993e-01      
 1.45800e+00       4.71133e-04       2.82327e-04       3.58615e-15       7.46045e-06       5.77359e-01       6.89503e-01      
 1.46700e+00       4.71995e-04       2.86571e-04       3.58804e-15       7.56652e-06       5.77359e-01       6.95007e-01      
 1.47600e+00       4.72809e-04       2.90823e-04       3.58993e-15       7.67339e-06       5.77359e-01       7.00505e-01      
 1.48500e+00       4.73575e-04       2.95081e-04       3.59183e-15       7.78108e-06       5.77359e-01       7.05998e-01      
 1.49400e+00       4.74294e-04       2.99347e-04       3.59373e-15       7.88961e-06       5.77359e-01       7.11484e-01      
 1.50300e+00       4.74967e-04       3.03618e-04       3.59563e-15       7.99898e-06       5.77359e-01       7.16966e-01      
 1.51200e+00       4.75594e-04       3.07896e-04       3.59755e-15       8.10921e-06       5.77359e-01       7.22442e-01      
 1.52100e+00       4.76177e-04       3.12179e-04       3.59947e-15       8.22032e-06       5.77359e-01       7.27914e-01      
 1.53000e+00       4.76715e-04       3.16467e-04       3.60139e-15       8.33232e-06       5.77359e-01       7.33382e-01      
 1.53900e+00       4.77210e-04       3.20759e-04       3.60333e-15       8.44522e-06       5.77359e-01       7.38846e-01      
 1.54800e+00       4.77662e-04       3.25056e-04       3.60527e-15       8.55904e-06       5.77359e-01       7.44306e-01      
 1.55700e+00       4.78072e-04       3.29357e-04       3.60722e-15       8.67379e-06       5.77359e-01       7.49763e-01      
 1.56600e+00       4.78441e-04       3.33661e-04       3.60918e-15       8.78950e-06       5.77359e-01       7.55216e-01      
 1.57500e+00       4.78768e-04       3.37969e-04       3.61115e-15       8.90618e-06       5.77359e-01       7.60667e-01      
 1.58400e+00       4.79056e-04       3.42279e-04       3.61313e-15       9.02384e-06       5.77359e-01       7.66115e-01      
 1.59300e+00       4.79304e-04       3.46592e-04       3.61512e-15       9.14250e-06       5.77359e-01       7.71560e-01      
 1.60200e+00       4.79514e-04       3.50906e-04       3.61712e-15       9.26218e-06       5.77359e-01       7.77004e-01      
 1.61100e+00       4.79685e-04       3.55223e-04       3.61912e-15       9.38290e-06       5.77359e-01       7.82446e-01      
 1.62000e+00       4.79819e-04       3.59540e-04       3.62114e-15       9.50468e-06       5.77359e-01       7.87886e-01      
 1.62900e+00       4.79916e-04       3.63859e-04       3.62316e-15       9.62753e-06       5.77359e-01       7.93325e-01      
 1.63800e+00       4.79977e-04       3.68179e-04       3.62519e-15       9.75148e-06       5.77359e-01       7.98763e-01      
 1.64700e+00       4.80002e-04       3.72499e-04       3.62723e-15       9.87654e-06       5.77359e-01       8.04200e-01      
 1.65600e+00       4.79992e-04       3.76819e-04       3.62927e-15       1.00027e-05       5.77359e-01       8.09637e-01      
 1.66500e+00       4.79948e-04       3.81138e-04       3.63131e-15       1.01301e-05       5.77359e-01       8.15073e-01      
 1.67400e+00       4.79870e-04       3.85457e-04       3.63336e-15       1.02586e-05       5.77359e-01       8.20509e-01      
 1.68300e+00       4.79758e-04       3.89776e-04       3.63541e-15       1.03884e-05       5.77359e-01       8.25946e-01      
 1.69200e+00       4.79614e-04       3.94093e-04       3.63746e-15       1.05193e-05       5.77359e-01       8.31382e-01      
 1.70100e+00       4.79437e-04       3.98409e-04       3.63951e-15       1.06515e-05       5.77359e-01       8.36819e-01      
 1.71000e+00       4.79229e-04       4.02723e-04       3.64155e-15       1.07850e-05       5.77359e-01       8.42257e-01      
 1.71900e+00       4.78991e-04       4.07035e-04       3.64359e-15       1.09198e-05       5.77359e-01       8.47696e-01      
 1.72800e+00       4.78721e-04       4.11344e-04       3.64562e-15       1.10558e-05       5.77359e-01       8.53136e-01      
 1.73700e+00       4.78422e-04       4.15652e-04       3.64764e-15       1.11933e-05       5.77359e-01       8.58577e-01      
 1.74600e+00       4.78093e-04       4.19956e-04       3.64965e-15       1.13321e-05       5.77359e-01       8.64020e-01      
 1.75500e+00       4.77735e-04       4.24257e-04       3.65165e-15       1.14723e-05       5.77359e-01       8.69465e-01      
 1.76400e+00       4.77349e-04       4.28555e-04       3.65364e-15       1.16139e-05       5.77359e-01       8.74912e-01      
 1.77300e+00       4.76935e-04       4.32849e-04       3.65561e-15       1.17569e-05       5.77359e-01       8.80361e-01      
 1.78200e+00       4.76494e-04       4.37140e-04       3.65756e-15       1.19015e-05       5.77359e-01       8.85812e-01      
 1.79100e+00       4.76025e-04       4.41426e-04       3.65949e-15       1.20475e-05       5.77359e-01       8.91265e-01      
 1.80000e+00       4.75531e-04       4.45708e-04       3.66141e-15       1.21951e-05       5.77359e-01       8.96722e-01      
